typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3038165911","false","-1","N/A","0","false","0","true","0","false","0","19098951789","19098951789","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","4","AFG","Afghanistan","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2438","false","-1","N/A","0","false","0","true","0","false","0","121681","121681","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","8","ALB","Albania","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1800","false","-1","N/A","0","false","0","true","0","false","0","16709","16709","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","12","DZA","Algeria","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2423","false","-1","N/A","0","false","0","true","0","false","0","246673","246673","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","28","ATG","Antigua and Barbuda","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1507","false","-1","N/A","0","false","0","true","0","false","0","20871","20871","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","31","AZE","Azerbaijan","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1613","false","-1","N/A","0","false","0","true","0","false","0","86863","86863","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4584962","false","-1","N/A","0","false","0","true","0","false","0","29156654","29156654","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","36","AUS","Australia","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","614600","false","-1","N/A","0","false","0","true","0","false","0","13581569","13581569","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","371944","false","-1","N/A","0","false","0","true","0","false","0","13117733","13117733","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","44","BHS","Bahamas","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5526","false","-1","N/A","0","false","0","true","0","false","0","507000","507000","4","true","false",
