typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","116","KHM","Cambodia","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13470","false","-1","N/A","0","false","0","true","0","false","84949","0","84949","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6437622","false","-1","N/A","0","false","0","true","0","false","719225350","0","719225350","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","132","CPV","Cabo Verde","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","360","false","-1","N/A","0","false","0","true","0","false","3141","0","3141","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","144","LKA","Sri Lanka","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","28761","false","-1","N/A","0","false","0","true","0","false","227413","0","227413","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","148","TCD","Chad","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","34300","false","-1","N/A","0","false","0","true","0","false","78447","0","78447","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","152","CHL","Chile","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","116","false","-1","N/A","0","false","0","true","0","false","44577","0","44577","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","476612894","false","-1","N/A","0","false","0","true","0","false","1682933492","0","1682933492","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1863","false","-1","N/A","0","false","0","true","0","false","13265","0","13265","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","174","COM","Comoros","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","126","false","-1","N/A","0","false","0","true","0","false","12701","0","12701","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3948311","false","-1","N/A","0","false","0","true","0","false","18621654","0","18621654","4","true","false",
