year,hs2,mfn_adval_hs2,mfn_spec_q1_hs2,mfn_other_hs2,has_additional_duty_hs2,sector_big
2015,01,0.0062972972972972965,0.02148648648648649,0.0,0,agriculture
2015,02,0.030333333333333334,0.03726126126126126,0.0,0,agriculture
2015,03,0.007224576271186441,0.00027966101694915254,0.0,0,agriculture
2015,04,0.06374806201550387,0.44389612403100775,0.0,0,agriculture
2015,05,0.006142857142857143,0.00038095238095238096,0.0,0,agriculture
2015,06,0.024580645161290323,0.0006191290322580645,0.0,0,agriculture
2015,07,0.047430107526881725,0.012175268817204302,0.0,0,agriculture
2015,08,0.022891472868217057,0.04433100775193798,0.0,0,agriculture
2015,09,0.004912280701754386,0.005859649122807018,0.0,0,agriculture
2015,10,0.0061333333333333335,0.0033733333333333332,0.0,0,agriculture
2015,11,0.021026315789473685,0.0032815789473684214,0.0,0,agriculture
2015,12,0.0652089552238806,0.03914776119402985,0.0,0,agriculture
2015,13,0.007153846153846154,0.06846153846153846,0.0,0,agriculture
2015,14,0.010818181818181817,0.45045454545454544,0.0,0,agriculture
2015,15,0.021485714285714285,0.02659142857142857,0.0,0,agriculture
2015,16,0.03262280701754386,0.0021666666666666666,0.0,0,agriculture
2015,17,2142.896142642857,2142.9339455,2142.857142642857,0,agriculture
2015,18,0.054115384615384614,0.16715641025641026,0.0,0,agriculture
2015,19,0.08915714285714285,0.14848142857142857,0.0,0,agriculture
2015,20,0.0654516129032258,0.02054247311827957,0.0,0,agriculture
2015,21,224.7816179550562,224.87360797752805,224.71910110112358,0,agriculture
2015,22,273.98236983561645,274.0156451780822,273.97993147945203,0,agriculture
2015,23,0.015714285714285715,0.04689428571428572,0.0,0,agriculture
2015,24,0.43266666666666664,0.36624561403508776,0.0,0,agriculture
2015,25,0.0025875,0.015625,0.0,0,mineral
2015,26,1041.6688748958334,1041.6845207291667,1041.6666665625,0,mineral
2015,27,0.008223684210526315,0.09076315789473684,0.0,0,mineral
2015,28,0.02522307692307692,0.0,0.0,0,chemical
2015,29,0.040392418032786884,5.122950819672131e-06,0.0,0,chemical
2015,30,0.0021904761904761906,0.0,0.0,0,chemical
2015,31,0.0,0.0,0.0,0,chemical
2015,32,0.044087378640776706,0.0,0.0,0,chemical
2015,33,0.014674418604651162,0.0059069767441860465,0.0,0,chemical
2015,34,0.023450000000000002,0.0,0.0,0,chemical
2015,35,0.018695652173913044,0.029930434782608695,0.0,0,chemical
2015,36,0.030000000000000002,0.0,0.0,0,chemical
2015,37,0.027404761904761904,0.0,0.0,0,chemical
2015,38,0.037383116883116886,0.0004155844155844156,0.0,0,chemical
2015,39,0.04555458515283843,0.0,0.0,0,plastic_rubber
2015,40,0.02289041095890411,0.0,0.0,0,plastic_rubber
2015,41,0.024644628099173557,0.0,0.0,0,hides_skins_leather
2015,42,0.07793589743589743,0.0015512820512820513,0.0,0,hides_skins_leather
2015,43,0.023666666666666666,0.0,0.0,0,hides_skins_leather
2015,44,0.01960693641618497,0.0008150289017341041,0.0,0,wood_paper
2015,45,0.00736842105263158,0.0,0.0,0,wood_paper
2015,46,0.044750000000000005,0.0,0.0,0,wood_paper
2015,47,0.0,0.0,0.0,0,wood_paper
2015,48,0.0,0.0,0.0,0,wood_paper
2015,49,0.0,0.0,0.0,0,wood_paper
2015,50,0.009153846153846153,0.0,0.0,0,textiles
2015,51,0.058831683168316835,0.017356435643564355,0.0,0,textiles
2015,52,0.08155364806866952,0.007768240343347639,0.0,0,textiles
2015,53,0.0192258064516129,6.451612903225807e-05,0.0,0,textiles
2015,54,0.10290697674418604,0.00972093023255814,0.0,0,textiles
2015,55,0.10823846153846153,0.0,0.0,0,textiles
2015,56,0.04498181818181818,0.024018181818181817,0.0,0,textiles
2015,57,0.030170212765957445,0.0,0.0,0,textiles
2015,58,138.95683331944443,138.888888875,138.888888875,0,textiles
2015,59,0.031033898305084746,0.0,0.0,0,textiles
2015,60,0.10101694915254238,0.0,0.0,0,textiles
2015,61,396.9392380555555,396.85400392857144,396.82539678571425,0,textiles
2015,62,344.93091219122255,344.85764259874605,344.8275861724138,0,textiles
2015,63,0.0671734693877551,0.0005612244897959184,0.0,0,textiles
2015,64,0.14944897959183676,0.09231292517006803,0.0,0,footwear_headgear
2015,65,0.04868965517241379,0.12137931034482759,0.004655172413793104,0,footwear_headgear
2015,66,0.044875,0.0,0.0,0,footwear_headgear
2015,67,0.03992307692307692,0.0,0.0,0,footwear_headgear
2015,68,0.018646153846153847,0.0007692307692307692,0.0,0,stone_glass_jewelry
2015,69,0.05919047619047619,0.0,0.0,0,stone_glass_jewelry
2015,70,0.061794117647058826,0.004617647058823529,0.0,0,stone_glass_jewelry
2015,71,0.029952380952380953,0.0,0.0,0,stone_glass_jewelry
2015,72,0.0030496183206106873,0.0,0.0,0,base_metals
2015,73,0.01114,0.0,0.0,0,base_metals
2015,74,0.020831460674157302,0.0,0.0,0,base_metals
2015,75,0.021714285714285714,0.0,0.0,0,base_metals
2015,76,0.0368,0.0,0.0,0,base_metals
2015,78,3636.373999636364,3636.363636,3636.363636,0,base_metals
2015,79,0.021538461538461538,0.0009230769230769231,0.0,0,base_metals
2015,80,0.0185,0.0,0.0,0,base_metals
2015,81,0.0355,0.0057272727272727275,0.0,0,base_metals
2015,82,370.4054888518518,370.374197,370.3703703333333,0,base_metals
2015,83,0.029559322033898303,0.00018644067796610167,0.0,0,base_metals
2015,84,0.013932989690721648,0.00032216494845360824,0.0,0,machinery
2015,85,0.021311846689895473,0.0002566202090592334,0.0,0,electrical_equipment
