year,hs4,mfn_adval_hs4,mfn_spec_q1_hs4,mfn_other_hs4,has_additional_duty_hs4,sector
2015,1203,0.0,0.0,0.0,0,other
2015,1204,0.0,0.0039,0.0,0,other
2015,1205,0.0,0.0058,0.0,0,other
2015,1206,0.0,0.0,0.0,0,other
2015,1207,0.0,0.00183,0.0,0,other
2015,1208,0.0165,0.0,0.0,0,other
2015,1209,0.0,0.008672222222222222,0.0,0,other
2015,1210,0.0,0.132,0.0,0,other
2015,1211,0.006857142857142858,0.009428571428571429,0.0,0,other
2015,1212,0.0,0.18355555555555556,0.0,0,other
2015,1213,0.0,0.0,0.0,0,other
2015,1214,0.007,0.0,0.0,0,other
2015,1301,0.004333333333333333,0.0,0.0,0,other
2015,1302,0.008,0.089,0.0,0,other
2015,1401,0.019200000000000002,0.0,0.0,0,other
2015,1404,0.003833333333333333,0.8258333333333333,0.0,0,other
2015,1501,0.0,0.03,0.0,0,other
2015,1502,0.0,0.0043,0.0,0,other
2015,1503,0.0,0.02,0.0,0,other
2015,1504,0.020833333333333332,0.007,0.0,0,other
2015,1505,0.012,0.0065,0.0,0,other
2015,1506,0.023,0.0,0.0,0,other
2015,1507,0.12733333333333333,0.0,0.0,0,other
2015,1508,0.0,0.075,0.0,0,other
2015,1509,0.0,0.042,0.0,0,other
2015,1510,0.0,0.028,0.0,0,other
2015,1511,0.0,0.0,0.0,0,other
2015,1512,0.017,0.036500000000000005,0.0,0,other
2015,1513,0.0,0.0,0.0,0,other
2015,1514,0.036571428571428574,0.0018571428571428571,0.0,0,other
2015,1515,0.013666666666666667,0.014755555555555556,0.0,0,other
2015,1516,0.025666666666666667,0.05266666666666667,0.0,0,other
2015,1517,0.037142857142857144,0.11042857142857143,0.0,0,other
2015,1518,0.04,0.0315,0.0,0,other
2015,1520,0.0,0.0,0.0,0,other
2015,1521,0.016,0.0,0.0,0,other
2015,1522,0.038,0.0,0.0,0,other
2015,1601,0.022000000000000002,0.0026666666666666666,0.0,0,other
2015,1602,0.027125,0.0095,0.0,0,other
2015,1603,0.0425,0.0,0.0,0,other
2015,1604,0.051521739130434785,0.00023913043478260867,0.0,0,other
2015,1605,0.014025641025641026,0.0,0.0,0,other
2015,1701,5000.0163745,5000.101149499999,4999.9999995,0,other
