typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","X","Export","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false",,"40233627816.185","40233627816.185","0","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","973151817.295","true","-1","N/A","0","false","1241470.01","true",,"false",,"980738931.006","980738931.006","0","false","true",
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","X","Export","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false",,"38551807365.952","38551807365.952","0","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","9317391.67","true",,"false",,"7157258062.949","7157258062.949","0","false","true",
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","X","Export","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false",,"47943095109.314","47943095109.314","0","false","true",
"C","A","20180101","2018","52","2018","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4000385048","false","5","u","4000385048","false","0","true","0","false","6932935251.386","0","6932935251.386","4","false","true",
"C","A","20180101","2018","52","2018","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","3226519.02","false","3226519.02","false","0","false","16366050187",,"16366050187","0","false","true",
"C","A","20180101","2018","52","2018","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2056623642","false","5","u","2056623642","false","0","true","0","false","3766500777.835","0","3766500777.835","4","false","true",
"C","A","20180101","2018","52","2018","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","871040.318","true","0","false","13160548468",,"13160548468","4","false","true",
"C","A","20180101","2018","52","2018","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13971431304.492","true","5","u","13971391693","false","0","true","0","false","9005242904.521","0","9005242904.521","6","false","true",
"C","A","20180101","2018","52","2018","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2676832.807","true","0","false","4692585480",,"4692585480","4","false","true",
"C","A","20180101","2018","52","2018","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6728351379","false","5","u","6728351379","false","0","true","0","false","0","3487630695.016","3487630695.016","4","false","true",
