year,NSI,Welfare,Obj_t,Gap_H,SAF_H,SAF_M,SAF_L,US_prod_H,US_prod_M,US_prod_L,US_import_from_CN_H,US_import_from_CN_M,US_import_from_CN_L,US_import_from_CN_share_H,US_import_from_CN_share_M,US_import_from_CN_share_L,scenario
2023,1.2229435078255417,2657919602048.4556,2657919602048.8223,0.5202434804201882,0.9600727115386043,0.9855833318085265,0.9355520615179376,4449493746.70942,4385451654.840706,14493095662.820915,249717226.31292182,83901637.86955188,1551432756.4447966,0.03992728846139571,0.014416668191473516,0.06444793848206246,tariff_plus_subsidy
2024,1.2276586528026012,2714113413227.9536,2714113413228.322,0.5296605550723198,0.9600884936079923,0.985584052817714,0.9355445630856547,4501705675.98965,4437431511.079724,14674213241.406216,252460956.2087589,84859049.77254774,1570696238.2256343,0.03991150639200765,0.014415947182285995,0.06445543691434527,tariff_plus_subsidy
2025,1.2323752473559473,2771428720529.494,2771428720529.864,0.5390766777703714,0.9601060394409933,0.9855882544576814,0.9355370620648022,4555014431.785015,4492288734.18542,14857594326.14894,255242059.7383706,85835589.67186567,1590198895.0454788,0.03989396055900674,0.014411745542318645,0.06446293793519779,tariff_plus_subsidy
2026,1.2370895050403017,2830029901575.097,2830029901575.4683,0.5484920191817061,0.9601218027767838,0.9855889412250105,0.9355295584677682,4608459869.161919,4545513706.291071,15043267202.455647,258046345.42952293,86814989.94368497,1609943696.3864088,0.03987819722321622,0.014411058774989443,0.06447044153223179,tariff_plus_subsidy
2027,1.2418051787307418,2889802119846.1777,2889802119846.5503,0.5579064128575799,0.9601392992635305,0.9855930406962587,0.9355220523065448,4663019567.092274,4601640075.090388,15231260509.221474,260888701.63562137,87813795.32128443,1629933648.5894065,0.039860700736469495,0.014406959303741274,0.06447794769345512,tariff_plus_subsidy
2028,1.246518552539586,2950914151702.683,2950914151703.057,0.5673200265736322,0.9601550443545372,0.9855936945231781,0.9355145435927394,4717727588.5474415,4656139825.323788,15421603243.246607,263754877.170528,88815688.32544298,1650171795.3116045,0.039844955645462775,0.014406305476821882,0.06448545640726054,tariff_plus_subsidy
2029,1.2512315353800512,3013322218063.2876,3013322218063.663,0.5767328602401438,0.960170788121786,0.9855943491052306,0.9355070323375855,4773077332.852781,4711286448.501094,15614324763.707968,266652499.0780205,89829014.73302045,1670661217.9891932,0.039829211878214,0.014405650894769377,0.06449296766241457,tariff_plus_subsidy
