year,NSI,Welfare,Obj_t,Gap_H,SAF_H,SAF_M,SAF_L,US_prod_H,US_prod_M,US_prod_L,US_import_from_CN_H,US_import_from_CN_M,US_import_from_CN_L,US_import_from_CN_share_H,US_import_from_CN_share_M,US_import_from_CN_share_L,scenario
2023,1.225234453227797,169217578590.87967,169217578591.24725,0.5220027933158122,0.9642291211958358,0.985446900347894,0.9324221293380239,4580794424.47083,4553172219.40129,14801829460.50499,222370319.98597342,84468789.6792209,1633597013.320222,0.03577087880416422,0.01455309965210606,0.06757787066197606,baseline
2024,1.2308231446702307,172205509804.3366,172205509804.70584,0.533180662068232,0.9642341609055513,0.985450084448362,0.9324035392441522,4631350446.538397,4598395524.099963,14941947808.815458,224884897.99329042,85305647.25932138,1649457629.1001906,0.035765839094448776,0.01454991555163803,0.06759646075584784,baseline
2025,1.2364120510763088,175246861835.7502,175246861836.12112,0.5443594336834309,0.964238748606032,0.9854532682872634,0.932384897226992,4682514070.269623,4644066831.237417,15083393750.509659,227429710.17462444,86150804.1028301,1665473366.3956306,0.03576125139396797,0.014546731712736625,0.06761510277300802,baseline
2026,1.2420015659884802,178342239228.4522,178342239228.8248,0.5555388668578114,0.9642438786994783,0.9854564513394201,0.9323662890400465,4734172233.284714,4690191361.2536125,15226177658.320675,230001707.31217706,87004329.25348237,1681643605.4980028,0.03575612130052169,0.014543548660579993,0.06763371095995353,baseline
2027,1.247591410427486,181492884478.47403,181492884478.8483,0.5667189630132515,0.9642490081295583,0.9854596337804127,0.932347673609786,4786402128.494011,4736773341.164031,15370313255.262444,232602742.97331655,87866309.99340084,1697970865.522945,0.03575099187044168,0.01454036621958734,0.067652326390214,baseline
2028,1.2531816490463015,184700224384.07635,184700224384.4523,0.5778996314890026,0.9642543346510882,0.9854628148024657,0.9323291076775817,4839229377.165715,4783818548.554948,15515811885.144941,235230385.65884858,88736809.12662916,1714455223.1890888,0.035745665348911757,0.014537185197534365,0.06767089232241835,baseline
2029,1.258772086532583,187964600249.79858,187964600250.1762,0.589081001198231,0.9642593815559138,0.9854659958839304,0.9323104819516582,4892644165.087598,4831329294.13253,15662689257.031986,237890181.43397328,89615949.271932,1731100992.6812606,0.03574061844408612,0.014534004116069612,0.0676895180483418,baseline
