year,NSI,Welfare,Obj_t,Gap_H,SAF_H,SAF_M,SAF_L,US_prod_H,US_prod_M,US_prod_L,US_import_from_CN_H,US_import_from_CN_M,US_import_from_CN_L,US_import_from_CN_share_H,US_import_from_CN_share_M,US_import_from_CN_share_L,scenario
2023,1.2264689009110525,168313663972.45444,168313663972.8224,0.5222155681930121,0.9634371840721284,0.9865318035740641,0.9384149185313163,4624838908.731949,4537869607.497745,14768462407.394753,224600288.78917947,77821093.66071297,1476431773.478458,0.03656281592787161,0.013468196425935868,0.0615850814686837,diff_by_chip
2024,1.2321753831068207,170104233166.97516,170104233167.34482,0.5336058041056909,0.9634547458513367,0.9865384466974835,0.9384178705953098,4657901318.515363,4566774861.686504,14856484526.498652,226119454.58756965,78277984.93745106,1484985838.6047535,0.03654525414866328,0.013461553302516529,0.06158212940469017,diff_by_chip
2025,1.2391782085511138,171863138399.81183,171863138400.1836,0.5449965160760287,0.9634719466581838,0.9874674934939589,0.9435186456790996,4691248545.125302,4596522628.413692,14960527570.04969,227649984.61623573,73291878.31527929,1364463510.370418,0.03652805334181618,0.012532506506041112,0.056481354320900415,diff_by_chip
2026,1.2448850070076012,173691892378.7114,173691892379.08487,0.556387499331439,0.9634895357534196,0.9874737181205863,0.9435218701449807,4724774014.576975,4625806189.40357,15049768115.180809,229189950.65465534,73722008.29862057,1372360643.5051005,0.036510464246580436,0.012526281879413693,0.05647812985501935,diff_by_chip
2027,1.251713277490404,175483089305.98486,175483089306.36038,0.5677787542999237,0.9635071163019906,0.9882777042977947,0.9479351545005423,4758539665.187786,4655851094.464959,15152982407.737108,230740318.87649137,69390524.64528912,1268140117.1725068,0.03649288369800937,0.01172229570220528,0.0520648454994577,diff_by_chip
2028,1.2574202577119082,177350885800.71576,177350885801.093,0.5791702814040409,0.9635246883196621,0.9882835615221708,0.9479385219670277,4792547218.310295,4685516620.023622,15243431433.947878,232301159.51516333,69797613.43217853,1275473445.747455,0.0364753116803379,0.011716438477829211,0.05206147803297239,diff_by_chip
2029,1.2641084248011056,179178070182.50012,179178070182.87936,0.5905620810609615,0.9635422518220689,0.9889872768832557,0.9518003764730683,4826798407.656221,4715878732.457722,15346229224.48031,233872543.27744374,65990813.06970333,1184209511.7273653,0.036457748177931106,0.011012723116744328,0.0481996235269318,diff_by_chip
