case,scenario,discounted_obj,final_NSI,final_Welfare,final_import_share_CN_H,final_import_share_CN_M,final_import_share_CN_L
high_tariff_impact,baseline,17309876698551.547,1.2493553275719922,2935432083728.748,0.0408522995371039,0.01532302037722426,0.06953563048022385
high_tariff_impact,tariff_only,15825942148682.145,1.2586612761853935,2485885074409.8926,0.03022448554346492,0.012631442835153304,0.057737355435931524
high_tariff_impact,tariff_plus_subsidy,17540686283474.48,1.2512315353800512,3013322218063.2876,0.039829211878214,0.014405650894769377,0.06449296766241457
high_tariff_impact,diff_by_chip,16685528108454.795,1.2529608898411375,2773362198137.9814,0.03791451560163145,0.013236051725641046,0.06039937333958188
low_tariff_impact,baseline,17309876698551.547,1.2493553275719922,2935432083728.748,0.0408522995371039,0.01532302037722426,0.06953563048022385
low_tariff_impact,tariff_only,16691944013673.377,1.2584765429706941,2760456361328.618,0.030462278459372726,0.012708925174643834,0.057995887535958864
low_tariff_impact,tariff_plus_subsidy,17540686283474.48,1.2512315353800512,3013322218063.2876,0.039829211878214,0.014405650894769377,0.06449296766241457
low_tariff_impact,diff_by_chip,16685528108454.795,1.2529608898411375,2773362198137.9814,0.03791451560163145,0.013236051725641046,0.06039937333958188
