year,NSI,Welfare,Obj_t,Gap_H,SAF_H,SAF_M,SAF_L,US_prod_H,US_prod_M,US_prod_L,US_import_from_CN_H,US_import_from_CN_M,US_import_from_CN_L,US_import_from_CN_share_H,US_import_from_CN_share_M,US_import_from_CN_share_L,scenario
2023,1.2314900287094062,173200955028.81015,173200955029.1796,0.522581651591195,0.9690089074463785,0.9879514886932271,0.9465465129132565,4556265828.13221,4474257070.491701,14747185921.722612,185649890.3913219,67691057.77303271,1235021392.5788772,0.03099109255362153,0.012048511306772858,0.053453487086743516,tariff_only
2024,1.2374430045112244,173240876591.6652,173240876592.03644,0.5343373358201328,0.9691016245271228,0.9879855942378852,0.9466392303311552,4574056535.971727,4487958689.937851,14778226525.501232,185605667.00830877,67645572.5514072,1234561157.464997,0.030898375472877233,0.012014405762114714,0.05336076966884483,tariff_only
2025,1.2452329553097443,173332837418.85825,173332837419.2318,0.5461303321759433,0.9707905199167061,0.9887411800022614,0.9507508763137061,4589114997.701247,4502179373.775984,14819853955.81642,175776755.55621538,63496869.85422621,1137533983.078259,0.02920948008329389,0.011258819997738539,0.04924912368629388,tariff_only
2026,1.2528264883420692,173410005163.135,173410005163.51086,0.5579557468983991,0.9723040529421666,0.989408809682413,0.9543697275853117,4604609563.1921,4516411198.542225,14860785489.118736,166986442.8079552,59834847.65626469,1052579396.292053,0.027695947057833417,0.010591190317587021,0.04563027241468832,tariff_only
2027,1.260257080188421,173476193113.22952,173476193113.6076,0.5698095803674448,0.9736693999750408,0.9900036518122722,0.9575824723674831,4620472696.879405,4530660600.181665,14901102005.171177,159071411.40270212,56574898.945010565,977499507.5745989,0.026330600024959273,0.00999634818772778,0.04241752763251695,tariff_only
2028,1.2675509484390997,173534103934.68582,173534103935.0661,0.5816885212536973,0.9749082156699493,0.990537544377627,0.960456583319941,4636652580.561606,4544932621.5162735,14940874208.457724,151901887.59570912,53651107.842141904,910598711.954642,0.025091784330050663,0.009462455622373033,0.039543416680059014,tariff_only
2029,1.2747288849859417,173585693371.8918,173585693372.27423,0.5935897967428887,0.9760379993159104,0.9910198599773877,0.9630451448166294,4653108812.112971,4559231319.874773,14980165831.996813,145373273.8271693,51011367.27851764,850553042.9267256,0.023962000684089647,0.008980140022612283,0.036954855183370584,tariff_only
